Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBSH","Food Balances (-2013, old methodology and population)","7","Angola","511","Total Population - Both sexes","2501","Population","2004","2004","1000 persons","15977","","Official data"
"FBSH","Food Balances (-2013, old methodology and population)","7","Angola","511","Total Population - Both sexes","2501","Population","2005","2005","1000 persons","16544","","Official data"
"FBSH","Food Balances (-2013, old methodology and population)","8","Antigua and Barbuda","511","Total Population - Both sexes","2501","Population","2001","2001","1000 persons","79","","Official data"
"FBSH","Food Balances (-2013, old methodology and population)","8","Antigua and Barbuda","511","Total Population - Both sexes","2501","Population","2002","2002","1000 persons","80","","Official data"
"FBSH","Food Balances (-2013, old methodology and population)","8","Antigua and Barbuda","511","Total Population - Both sexes","2501","Population","2003","2003","1000 persons","81","","Official data"
"FBSH","Food Balances (-2013, old methodology and population)","8","Antigua and Barbuda","511","Total Population - Both sexes","2501","Population","2004","2004","1000 persons","82","","Official data"
"FBSH","Food Balances (-2013, old methodology and population)","8","Antigua and Barbuda","511","Total Population - Both sexes","2501","Population","2005","2005","1000 persons","83","","Official data"
"FBSH","Food Balances (-2013, old methodology and population)","9","Argentina","511","Total Population - Both sexes","2501","Population","2001","2001","1000 persons","37273","","Official data"
"FBSH","Food Balances (-2013, old methodology and population)","9","Argentina","511","Total Population - Both sexes","2501","Population","2002","2002","1000 persons","37628","","Official data"
"FBSH","Food Balances (-2013, old methodology and population)","9","Argentina","511","Total Population - Both sexes","2501","Population","2003","2003","1000 persons","37970","","Official data"
"FBSH","Food Balances (-2013, old methodology and population)","9","Argentina","511","Total Population - Both sexes","2501","Population","2004","2004","1000 persons","38309","","Official data"
"FBSH","Food Balances (-2013, old methodology and population)","9","Argentina","511","Total Population - Both sexes","2501","Population","2005","2005","1000 persons","38648","","Official data"
"FBSH","Food Balances (-2013, old methodology and population)","1","Armenia","511","Total Population - Both sexes","2501","Population","2001","2001","1000 persons","3060","","Official data"
"FBSH","Food Balances (-2013, old methodology and population)","1","Armenia","511","Total Population - Both sexes","2501","Population","2002","2002","1000 persons","3047","","Official data"
"FBSH","Food Balances (-2013, old methodology and population)","1","Armenia","511","Total Population - Both sexes","2501","Population","2003","2003","1000 persons","3036","","Official data"
"FBSH","Food Balances (-2013, old methodology and population)","1","Armenia","511","Total Population - Both sexes","2501","Population","2004","2004","1000 persons","3026","","Official data"
"FBSH","Food Balances (-2013, old methodology and population)","1","Armenia","511","Total Population - Both sexes","2501","Population","2005","2005","1000 persons","3015","","Official data"
"FBSH","Food Balances (-2013, old methodology and population)","10","Australia","511","Total Population - Both sexes","2501","Population","2001","2001","1000 persons","19487","","Official data"
"FBSH","Food Balances (-2013, old methodology and population)","10","Australia","511","Total Population - Both sexes","2501","Population","2002","2002","1000 persons","19715","","Official data"
"FBSH","Food Balances (-2013, old methodology and population)","10","Australia","511","Total Population - Both sexes","2501","Population","2003","2003","1000 persons","19953","","Official data"
"FBSH","Food Balances (-2013, old methodology and population)","10","Australia","511","Total Population - Both sexes","2501","Population","2004","2004","1000 persons","20218","","Official data"
"FBSH","Food Balances (-2013, old methodology and population)","10","Australia","511","Total Population - Both sexes","2501","Population","2005","2005","1000 persons","20521","","Official data"
"FBSH","Food Balances (-2013, old methodology and population)","11","Austria","511","Total Population - Both sexes","2501","Population","2001","2001","1000 persons","8049","","Official data"
"FBSH","Food Balances (-2013, old methodology and population)","11","Austria","511","Total Population - Both sexes","2501","Population","2002","2002","1000 persons","8092","","Official data"
"FBSH","Food Balances (-2013, old methodology and population)","11","Austria","511","Total Population - Both sexes","2501","Population","2003","2003","1000 persons","8142","","Official data"
"FBSH","Food Balances (-2013, old methodology and population)","11","Austria","511","Total Population - Both sexes","2501","Population","2004","2004","1000 persons","8193","","Official data"
"FBSH","Food Balances (-2013, old methodology and population)","11","Austria","511","Total Population - Both sexes","2501","Population","2005","2005","1000 persons","8239","","Official data"
"FBSH","Food Balances (-2013, old methodology and population)","52","Azerbaijan","511","Total Population - Both sexes","2501","Population","2001","2001","1000 persons","8195","","Official data"
"FBSH","Food Balances (-2013, old methodology and population)","52","Azerbaijan","511","Total Population - Both sexes","2501","Population","2002","2002","1000 persons","8280","","Official data"
"FBSH","Food Balances (-2013, old methodology and population)","52","Azerbaijan","511","Total Population - Both sexes","2501","Population","2003","2003","1000 persons","8370","","Official data"
"FBSH","Food Balances (-2013, old methodology and population)","52","Azerbaijan","511","Total Population - Both sexes","2501","Population","2004","2004","1000 persons","8465","","Official data"
"FBSH","Food Balances (-2013, old methodology and population)","52","Azerbaijan","511","Total Population - Both sexes","2501","Population","2005","2005","1000 persons","8563","","Official data"
"FBSH","Food Balances (-2013, old methodology and population)","12","Bahamas","511","Total Population - Both sexes","2501","Population","2001","2001","1000 persons","303","","Official data"
"FBSH","Food Balances (-2013, old methodology and population)","12","Bahamas","511","Total Population - Both sexes","2501","Population","2002","2002","1000 persons","309","","Official data"
"FBSH","Food Balances (-2013, old methodology and population)","12","Bahamas","511","Total Population - Both sexes","2501","Population","2003","2003","1000 persons","316","","Official data"
"FBSH","Food Balances (-2013, old methodology and population)","12","Bahamas","511","Total Population - Both sexes","2501","Population","2004","2004","1000 persons","322","","Official data"
"FBSH","Food Balances (-2013, old methodology and population)","12","Bahamas","511","Total Population - Both sexes","2501","Population","2005","2005","1000 persons","329","","Official data"
"FBSH","Food Balances (-2013, old methodology and population)","16","Bangladesh","511","Total Population - Both sexes","2501","Population","2001","2001","1000 persons","134730","","Official data"
"FBSH","Food Balances (-2013, old methodology and population)","16","Bangladesh","511","Total Population - Both sexes","2501","Population","2002","2002","1000 persons","137006","","Official data"
"FBSH","Food Balances (-2013, old methodology and population)","16","Bangladesh","511","Total Population - Both sexes","2501","Population","2003","2003","1000 persons","139186","","Official data"
"FBSH","Food Balances (-2013, old methodology and population)","16","Bangladesh","511","Total Population - Both sexes","2501","Population","2004","2004","1000 persons","141235","","Official data"
"FBSH","Food Balances (-2013, old methodology and population)","16","Bangladesh","511","Total Population - Both sexes","2501","Population","2005","2005","1000 persons","143135","","Official data"
"FBSH","Food Balances (-2013, old methodology and population)","14","Barbados","511","Total Population - Both sexes","2501","Population","2001","2001","1000 persons","268","","Official data"
"FBSH","Food Balances (-2013, old methodology and population)","14","Barbados","511","Total Population - Both sexes","2501","Population","2002","2002","1000 persons","270","","Official data"
"FBSH","Food Balances (-2013, old methodology and population)","14","Barbados","511","Total Population - Both sexes","2501","Population","2003","2003","1000 persons","271","","Official data"
"FBSH","Food Balances (-2013, old methodology and population)","14","Barbados","511","Total Population - Both sexes","2501","Population","2004","2004","1000 persons","272","","Official data"
"FBSH","Food Balances (-2013, old methodology and population)","14","Barbados","511","Total Population - Both sexes","2501","Population","2005","2005","1000 persons","274","","Official data"
"FBSH","Food Balances (-2013, old methodology and population)","57","Belarus","511","Total Population - Both sexes","2501","Population","2001","2001","1000 persons","9920","","Official data"
"FBSH","Food Balances (-2013, old methodology and population)","57","Belarus","511","Total Population - Both sexes","2501","Population","2002","2002","1000 persons","9853","","Official data"
"FBSH","Food Balances (-2013, old methodology and population)","57","Belarus","511","Total Population - Both sexes","2501","Population","2003","2003","1000 persons","9784","","Official data"
"FBSH","Food Balances (-2013, old methodology and population)","57","Belarus","511","Total Population - Both sexes","2501","Population","2004","2004","1000 persons","9720","","Official data"
"FBSH","Food Balances (-2013, old methodology and population)","57","Belarus","511","Total Population - Both sexes","2501","Population","2005","2005","1000 persons","9665","","Official data"
"FBSH","Food Balances (-2013, old methodology and population)","255","Belgium","511","Total Population - Both sexes","2501","Population","2001","2001","1000 persons","10301","","Official data"
"FBSH","Food Balances (-2013, old methodology and population)","255","Belgium","511","Total Population - Both sexes","2501","Population","2002","2002","1000 persons","10339","","Official data"
"FBSH","Food Balances (-2013, old methodology and population)","255","Belgium","511","Total Population - Both sexes","2501","Population","2003","2003","1000 persons","10385","","Official data"
"FBSH","Food Balances (-2013, old methodology and population)","255","Belgium","511","Total Population - Both sexes","2501","Population","2004","2004","1000 persons","10441","","Official data"
"FBSH","Food Balances (-2013, old methodology and population)","255","Belgium","511","Total Population - Both sexes","2501","Population","2005","2005","1000 persons","10508","","Official data"
"FBSH","Food Balances (-2013, old methodology and population)","23","Belize","511","Total Population - Both sexes","2501","Population","2001","2001","1000 persons","245","","Official data"
"FBSH","Food Balances (-2013, old methodology and population)","23","Belize","511","Total Population - Both sexes","2501","Population","2002","2002","1000 persons","252","","Official data"
"FBSH","Food Balances (-2013, old methodology and population)","23","Belize","511","Total Population - Both sexes","2501","Population","2003","2003","1000 persons","258","","Official data"
"FBSH","Food Balances (-2013, old methodology and population)","23","Belize","511","Total Population - Both sexes","2501","Population","2004","2004","1000 persons","265","","Official data"
"FBSH","Food Balances (-2013, old methodology and population)","23","Belize","511","Total Population - Both sexes","2501","Population","2005","2005","1000 persons","272","","Official data"
"FBSH","Food Balances (-2013, old methodology and population)","53","Benin","511","Total Population - Both sexes","2501","Population","2001","2001","1000 persons","7175","","Official data"
"FBSH","Food Balances (-2013, old methodology and population)","53","Benin","511","Total Population - Both sexes","2501","Population","2002","2002","1000 persons","7415","","Official data"
"FBSH","Food Balances (-2013, old methodology and population)","53","Benin","511","Total Population - Both sexes","2501","Population","2003","2003","1000 persons","7666","","Official data"
"FBSH","Food Balances (-2013, old methodology and population)","53","Benin","511","Total Population - Both sexes","2501","Population","2004","2004","1000 persons","7923","","Official data"
"FBSH","Food Balances (-2013, old methodology and population)","53","Benin","511","Total Population - Both sexes","2501","Population","2005","2005","1000 persons","8182","","Official data"
"FBSH","Food Balances (-2013, old methodology and population)","17","Bermuda","511","Total Population - Both sexes","2501","Population","2001","2001","1000 persons","63","","Official data"
"FBSH","Food Balances (-2013, old methodology and population)","17","Bermuda","511","Total Population - Both sexes","2501","Population","2002","2002","1000 persons","63","","Official data"
"FBSH","Food Balances (-2013, old methodology and population)","17","Bermuda","511","Total Population - Both sexes","2501","Population","2003","2003","1000 persons","64","","Official data"
"FBSH","Food Balances (-2013, old methodology and population)","17","Bermuda","511","Total Population - Both sexes","2501","Population","2004","2004","1000 persons","64","","Official data"
"FBSH","Food Balances (-2013, old methodology and population)","17","Bermuda","511","Total Population - Both sexes","2501","Population","2005","2005","1000 persons","64","","Official data"
"FBSH","Food Balances (-2013, old methodology and population)","19","Bolivia (Plurinational State of)","511","Total Population - Both sexes","2501","Population","2001","2001","1000 persons","8669","","Official data"
"FBSH","Food Balances (-2013, old methodology and population)","19","Bolivia (Plurinational State of)","511","Total Population - Both sexes","2501","Population","2002","2002","1000 persons","8843","","Official data"
"FBSH","Food Balances (-2013, old methodology and population)","19","Bolivia (Plurinational State of)","511","Total Population - Both sexes","2501","Population","2003","2003","1000 persons","9017","","Official data"
"FBSH","Food Balances (-2013, old methodology and population)","19","Bolivia (Plurinational State of)","511","Total Population - Both sexes","2501","Population","2004","2004","1000 persons","9188","","Official data"
"FBSH","Food Balances (-2013, old methodology and population)","19","Bolivia (Plurinational State of)","511","Total Population - Both sexes","2501","Population","2005","2005","1000 persons","9355","","Official data"
"FBSH","Food Balances (-2013, old methodology and population)","80","Bosnia and Herzegovina","511","Total Population - Both sexes","2501","Population","2001","2001","1000 persons","3879","","Official data"
"FBSH","Food Balances (-2013, old methodology and population)","80","Bosnia and Herzegovina","511","Total Population - Both sexes","2501","Population","2002","2002","1000 persons","3898","","Official data"
"FBSH","Food Balances (-2013, old methodology and population)","80","Bosnia and Herzegovina","511","Total Population - Both sexes","2501","Population","2003","2003","1000 persons","3896","","Official data"
"FBSH","Food Balances (-2013, old methodology and population)","80","Bosnia and Herzegovina","511","Total Population - Both sexes","2501","Population","2004","2004","1000 persons","3887","","Official data"
"FBSH","Food Balances (-2013, old methodology and population)","80","Bosnia and Herzegovina","511","Total Population - Both sexes","2501","Population","2005","2005","1000 persons","3880","","Official data"
"FBSH","Food Balances (-2013, old methodology and population)","20","Botswana","511","Total Population - Both sexes","2501","Population","2001","2001","1000 persons","1783","","Official data"
"FBSH","Food Balances (-2013, old methodology and population)","20","Botswana","511","Total Population - Both sexes","2501","Population","2002","2002","1000 persons","1809","","Official data"
"FBSH","Food Balances (-2013, old methodology and population)","20","Botswana","511","Total Population - Both sexes","2501","Population","2003","2003","1000 persons","1833","","Official data"
"FBSH","Food Balances (-2013, old methodology and population)","20","Botswana","511","Total Population - Both sexes","2501","Population","2004","2004","1000 persons","1855","","Official data"
"FBSH","Food Balances (-2013, old methodology and population)","20","Botswana","511","Total Population - Both sexes","2501","Population","2005","2005","1000 persons","1876","","Official data"
"FBSH","Food Balances (-2013, old methodology and population)","21","Brazil","511","Total Population - Both sexes","2501","Population","2001","2001","1000 persons","176968","","Official data"
"FBSH","Food Balances (-2013, old methodology and population)","21","Brazil","511","Total Population - Both sexes","2501","Population","2002","2002","1000 persons","179394","","Official data"
"FBSH","Food Balances (-2013, old methodology and population)","21","Brazil","511","Total Population - Both sexes","2501","Population","2003","2003","1000 persons","181753","","Official data"
"FBSH","Food Balances (-2013, old methodology and population)","21","Brazil","511","Total Population - Both sexes","2501","Population","2004","2004","1000 persons","184010","","Official data"
"FBSH","Food Balances (-2013, old methodology and population)","21","Brazil","511","Total Population - Both sexes","2501","Population","2005","2005","1000 persons","186142","","Official data"
"FBSH","Food Balances (-2013, old methodology and population)","26","Brunei Darussalam","511","Total Population - Both sexes","2501","Population","2001","2001","1000 persons","339","","Official data"
"FBSH","Food Balances (-2013, old methodology and population)","26","Brunei Darussalam","511","Total Population - Both sexes","2501","Population","2002","2002","1000 persons","346","","Official data"
"FBSH","Food Balances (-2013, old methodology and population)","26","Brunei Darussalam","511","Total Population - Both sexes","2501","Population","2003","2003","1000 persons","354","","Official data"
"FBSH","Food Balances (-2013, old methodology and population)","26","Brunei Darussalam","511","Total Population - Both sexes","2501","Population","2004","2004","1000 persons","361","","Official data"
"FBSH","Food Balances (-2013, old methodology and population)","26","Brunei Darussalam","511","Total Population - Both sexes","2501","Population","2005","2005","1000 persons","368","","Official data"
"FBSH","Food Balances (-2013, old methodology and population)","27","Bulgaria","511","Total Population - Both sexes","2501","Population","2001","2001","1000 persons","7935","","Official data"
"FBSH","Food Balances (-2013, old methodology and population)","27","Bulgaria","511","Total Population - Both sexes","2501","Population","2002","2002","1000 persons","7870","","Official data"
"FBSH","Food Balances (-2013, old methodology and population)","27","Bulgaria","511","Total Population - Both sexes","2501","Population","2003","2003","1000 persons","7807","","Official data"
"FBSH","Food Balances (-2013, old methodology and population)","27","Bulgaria","511","Total Population - Both sexes","2501","Population","2004","2004","1000 persons","7745","","Official data"
"FBSH","Food Balances (-2013, old methodology and population)","27","Bulgaria","511","Total Population - Both sexes","2501","Population","2005","2005","1000 persons","7683","","Official data"
"FBSH","Food Balances (-2013, old methodology and population)","233","Burkina Faso","511","Total Population - Both sexes","2501","Population","2001","2001","1000 persons","11946","","Official data"
"FBSH","Food Balances (-2013, old methodology and population)","233","Burkina Faso","511","Total Population - Both sexes","2501","Population","2002","2002","1000 persons","12296","","Official data"
"FBSH","Food Balances (-2013, old methodology and population)","233","Burkina Faso","511","Total Population - Both sexes","2501","Population","2003","2003","1000 persons","12659","","Official data"
"FBSH","Food Balances (-2013, old methodology and population)","233","Burkina Faso","511","Total Population - Both sexes","2501","Population","2004","2004","1000 persons","13034","","Official data"
"FBSH","Food Balances (-2013, old methodology and population)","233","Burkina Faso","511","Total Population - Both sexes","2501","Population","2005","2005","1000 persons","13422","","Official data"
"FBSH","Food Balances (-2013, old methodology and population)","35","Cabo Verde","511","Total Population - Both sexes","2501","Population","2001","2001","1000 persons","451","","Official data"
"FBSH","Food Balances (-2013, old methodology and population)","35","Cabo Verde","511","Total Population - Both sexes","2501","Population","2002","2002","1000 persons","459","","Official data"
"FBSH","Food Balances (-2013, old methodology and population)","35","Cabo Verde","511","Total Population - Both sexes","2501","Population","2003","2003","1000 persons","467","","Official data"
"FBSH","Food Balances (-2013, old methodology and population)","35","Cabo Verde","511","Total Population - Both sexes","2501","Population","2004","2004","1000 persons","474","","Official data"
"FBSH","Food Balances (-2013, old methodology and population)","35","Cabo Verde","511","Total Population - Both sexes","2501","Population","2005","2005","1000 persons","479","","Official data"
"FBSH","Food Balances (-2013, old methodology and population)","115","Cambodia","511","Total Population - Both sexes","2501","Population","2001","2001","1000 persons","12473","","Official data"
"FBSH","Food Balances (-2013, old methodology and population)","115","Cambodia","511","Total Population - Both sexes","2501","Population","2002","2002","1000 persons","12709","","Official data"
"FBSH","Food Balances (-2013, old methodology and population)","115","Cambodia","511","Total Population - Both sexes","2501","Population","2003","2003","1000 persons","12934","","Official data"
"FBSH","Food Balances (-2013, old methodology and population)","115","Cambodia","511","Total Population - Both sexes","2501","Population","2004","2004","1000 persons","13149","","Official data"
"FBSH","Food Balances (-2013, old methodology and population)","115","Cambodia","511","Total Population - Both sexes","2501","Population","2005","2005","1000 persons","13356","","Official data"
"FBSH","Food Balances (-2013, old methodology and population)","32","Cameroon","511","Total Population - Both sexes","2501","Population","2001","2001","1000 persons","16350","","Official data"
"FBSH","Food Balances (-2013, old methodology and population)","32","Cameroon","511","Total Population - Both sexes","2501","Population","2002","2002","1000 persons","16782","","Official data"
"FBSH","Food Balances (-2013, old methodology and population)","32","Cameroon","511","Total Population - Both sexes","2501","Population","2003","2003","1000 persons","17223","","Official data"
"FBSH","Food Balances (-2013, old methodology and population)","32","Cameroon","511","Total Population - Both sexes","2501","Population","2004","2004","1000 persons","17675","","Official data"
"FBSH","Food Balances (-2013, old methodology and population)","32","Cameroon","511","Total Population - Both sexes","2501","Population","2005","2005","1000 persons","18138","","Official data"
"FBSH","Food Balances (-2013, old methodology and population)","33","Canada","511","Total Population - Both sexes","2501","Population","2001","2001","1000 persons","30987","","Official data"
"FBSH","Food Balances (-2013, old methodology and population)","33","Canada","511","Total Population - Both sexes","2501","Population","2002","2002","1000 persons","31284","","Official data"
"FBSH","Food Balances (-2013, old methodology and population)","33","Canada","511","Total Population - Both sexes","2501","Population","2003","2003","1000 persons","31592","","Official data"
"FBSH","Food Balances (-2013, old methodology and population)","33","Canada","511","Total Population - Both sexes","2501","Population","2004","2004","1000 persons","31914","","Official data"
"FBSH","Food Balances (-2013, old methodology and population)","33","Canada","511","Total Population - Both sexes","2501","Population","2005","2005","1000 persons","32253","","Official data"
"FBSH","Food Balances (-2013, old methodology and population)","37","Central African Republic","511","Total Population - Both sexes","2501","Population","2001","2001","1000 persons","3704","","Official data"
"FBSH","Food Balances (-2013, old methodology and population)","37","Central African Republic","511","Total Population - Both sexes","2501","Population","2002","2002","1000 persons","3767","","Official data"
"FBSH","Food Balances (-2013, old methodology and population)","37","Central African Republic","511","Total Population - Both sexes","2501","Population","2003","2003","1000 persons","3830","","Official data"
"FBSH","Food Balances (-2013, old methodology and population)","37","Central African Republic","511","Total Population - Both sexes","2501","Population","2004","2004","1000 persons","3894","","Official data"
"FBSH","Food Balances (-2013, old methodology and population)","37","Central African Republic","511","Total Population - Both sexes","2501","Population","2005","2005","1000 persons","3961","","Official data"
"FBSH","Food Balances (-2013, old methodology and population)","39","Chad","511","Total Population - Both sexes","2501","Population","2001","2001","1000 persons","8621","","Official data"
"FBSH","Food Balances (-2013, old methodology and population)","39","Chad","511","Total Population - Both sexes","2501","Population","2002","2002","1000 persons","8960","","Official data"
"FBSH","Food Balances (-2013, old methodology and population)","39","Chad","511","Total Population - Both sexes","2501","Population","2003","2003","1000 persons","9311","","Official data"
"FBSH","Food Balances (-2013, old methodology and population)","39","Chad","511","Total Population - Both sexes","2501","Population","2004","2004","1000 persons","9665","","Official data"
"FBSH","Food Balances (-2013, old methodology and population)","39","Chad","511","Total Population - Both sexes","2501","Population","2005","2005","1000 persons","10014","","Official data"
"FBSH","Food Balances (-2013, old methodology and population)","40","Chile","511","Total Population - Both sexes","2501","Population","2001","2001","1000 persons","15639","","Official data"
"FBSH","Food Balances (-2013, old methodology and population)","40","Chile","511","Total Population - Both sexes","2501","Population","2002","2002","1000 persons","15820","","Official data"
"FBSH","Food Balances (-2013, old methodology and population)","40","Chile","511","Total Population - Both sexes","2501","Population","2003","2003","1000 persons","15996","","Official data"
"FBSH","Food Balances (-2013, old methodology and population)","40","Chile","511","Total Population - Both sexes","2501","Population","2004","2004","1000 persons","16168","","Official data"
"FBSH","Food Balances (-2013, old methodology and population)","40","Chile","511","Total Population - Both sexes","2501","Population","2005","2005","1000 persons","16338","","Official data"
"FBSH","Food Balances (-2013, old methodology and population)","351","China","511","Total Population - Both sexes","2501","Population","2001","2001","1000 persons","1317322","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBSH","Food Balances (-2013, old methodology and population)","351","China","511","Total Population - Both sexes","2501","Population","2002","2002","1000 persons","1324949","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBSH","Food Balances (-2013, old methodology and population)","351","China","511","Total Population - Both sexes","2501","Population","2003","2003","1000 persons","1332606","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBSH","Food Balances (-2013, old methodology and population)","351","China","511","Total Population - Both sexes","2501","Population","2004","2004","1000 persons","1340363","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBSH","Food Balances (-2013, old methodology and population)","351","China","511","Total Population - Both sexes","2501","Population","2005","2005","1000 persons","1348270","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBSH","Food Balances (-2013, old methodology and population)","96","China, Hong Kong SAR","511","Total Population - Both sexes","2501","Population","2001","2001","1000 persons","6893","","Official data"
"FBSH","Food Balances (-2013, old methodology and population)","96","China, Hong Kong SAR","511","Total Population - Both sexes","2501","Population","2002","2002","1000 persons","6912","","Official data"
"FBSH","Food Balances (-2013, old methodology and population)","96","China, Hong Kong SAR","511","Total Population - Both sexes","2501","Population","2003","2003","1000 persons","6907","","Official data"
"FBSH","Food Balances (-2013, old methodology and population)","96","China, Hong Kong SAR","511","Total Population - Both sexes","2501","Population","2004","2004","1000 persons","6897","","Official data"
"FBSH","Food Balances (-2013, old methodology and population)","96","China, Hong Kong SAR","511","Total Population - Both sexes","2501","Population","2005","2005","1000 persons","6897","","Official data"
"FBSH","Food Balances (-2013, old methodology and population)","128","China, Macao SAR","511","Total Population - Both sexes","2501","Population","2001","2001","1000 persons","438","","Official data"
"FBSH","Food Balances (-2013, old methodology and population)","128","China, Macao SAR","511","Total Population - Both sexes","2501","Population","2002","2002","1000 persons","444","","Official data"
"FBSH","Food Balances (-2013, old methodology and population)","128","China, Macao SAR","511","Total Population - Both sexes","2501","Population","2003","2003","1000 persons","451","","Official data"
"FBSH","Food Balances (-2013, old methodology and population)","128","China, Macao SAR","511","Total Population - Both sexes","2501","Population","2004","2004","1000 persons","459","","Official data"
"FBSH","Food Balances (-2013, old methodology and population)","128","China, Macao SAR","511","Total Population - Both sexes","2501","Population","2005","2005","1000 persons","468","","Official data"
"FBSH","Food Balances (-2013, old methodology and population)","41","China, mainland","511","Total Population - Both sexes","2501","Population","2001","2001","1000 persons","1287890","","Official data"
"FBSH","Food Balances (-2013, old methodology and population)","41","China, mainland","511","Total Population - Both sexes","2501","Population","2002","2002","1000 persons","1295322","","Official data"
"FBSH","Food Balances (-2013, old methodology and population)","41","China, mainland","511","Total Population - Both sexes","2501","Population","2003","2003","1000 persons","1302810","","Official data"
"FBSH","Food Balances (-2013, old methodology and population)","41","China, mainland","511","Total Population - Both sexes","2501","Population","2004","2004","1000 persons","1310414","","Official data"
"FBSH","Food Balances (-2013, old methodology and population)","41","China, mainland","511","Total Population - Both sexes","2501","Population","2005","2005","1000 persons","1318177","","Official data"
"FBSH","Food Balances (-2013, old methodology and population)","214","China, Taiwan Province of","511","Total Population - Both sexes","2501","Population","2001","2001","1000 persons","22101","","Official data"
"FBSH","Food Balances (-2013, old methodology and population)","214","China, Taiwan Province of","511","Total Population - Both sexes","2501","Population","2002","2002","1000 persons","22271","","Official data"
"FBSH","Food Balances (-2013, old methodology and population)","214","China, Taiwan Province of","511","Total Population - Both sexes","2501","Population","2003","2003","1000 persons","22438","","Official data"
"FBSH","Food Balances (-2013, old methodology and population)","214","China, Taiwan Province of","511","Total Population - Both sexes","2501","Population","2004","2004","1000 persons","22593","","Official data"
"FBSH","Food Balances (-2013, old methodology and population)","214","China, Taiwan Province of","511","Total Population - Both sexes","2501","Population","2005","2005","1000 persons","22728","","Official data"
"FBSH","Food Balances (-2013, old methodology and population)","44","Colombia","511","Total Population - Both sexes","2501","Population","2001","2001","1000 persons","40559","","Official data"
"FBSH","Food Balances (-2013, old methodology and population)","44","Colombia","511","Total Population - Both sexes","2501","Population","2002","2002","1000 persons","41216","","Official data"
"FBSH","Food Balances (-2013, old methodology and population)","44","Colombia","511","Total Population - Both sexes","2501","Population","2003","2003","1000 persons","41872","","Official data"
"FBSH","Food Balances (-2013, old methodology and population)","44","Colombia","511","Total Population - Both sexes","2501","Population","2004","2004","1000 persons","42528","","Official data"
"FBSH","Food Balances (-2013, old methodology and population)","44","Colombia","511","Total Population - Both sexes","2501","Population","2005","2005","1000 persons","43184","","Official data"
